Impl,MsgSize,Threads,ThroughputGbps,LatencyUs,CPUCycles,L1Misses,LLCMisses,ContextSwitches
A1,1024,1,0.0,0.0,0,0,0,0
A1,1024,2,0.0,0.0,0,0,0,0
A1,1024,4,0.0,0.0,0,0,0,0
A1,1024,8,0.0,0.0,0,0,0,0
A1,4096,1,0.0,0.0,0,0,0,0
A1,4096,2,0.0,0.0,0,0,0,0
A1,4096,4,0.0,0.0,0,0,0,0
A1,4096,8,0.0,0.0,0,0,0,0
A1,16384,1,0.0,0.0,0,0,0,0
A1,16384,2,0.0,0.0,0,0,0,0
A1,16384,4,0.0,0.0,0,0,0,0
A1,16384,8,0.0,0.0,0,0,0,0
A1,65536,1,0.0,0.0,0,0,0,0
A1,65536,2,0.0,0.0,0,0,0,0
A1,65536,4,0.0,0.0,0,0,0,0
A1,65536,8,0.0,0.0,0,0,0,0
A2,1024,1,0.0,0.0,0,0,0,0
A2,1024,2,0.0,0.0,0,0,0,0
A2,1024,4,0.0,0.0,0,0,0,0
A2,1024,8,0.0,0.0,0,0,0,0
A2,4096,1,0.0,0.0,0,0,0,0
A2,4096,2,0.0,0.0,0,0,0,0
A2,4096,4,0.0,0.0,0,0,0,0
A2,4096,8,0.0,0.0,0,0,0,0
A2,16384,1,0.0,0.0,0,0,0,0
A2,16384,2,0.0,0.0,0,0,0,0
A2,16384,4,0.0,0.0,0,0,0,0
A2,16384,8,0.0,0.0,0,0,0,0
A2,65536,1,0.0,0.0,0,0,0,0
A2,65536,2,0.0,0.0,0,0,0,0
A2,65536,4,0.0,0.0,0,0,0,0
A2,65536,8,0.0,0.0,0,0,0,0
A3,1024,1,0.0,0.0,0,0,0,0
A3,1024,2,0.0,0.0,0,0,0,0
A3,1024,4,0.0,0.0,0,0,0,0
A3,1024,8,0.0,0.0,0,0,0,0
A3,4096,1,0.0,0.0,0,0,0,0
A3,4096,2,0.0,0.0,0,0,0,0
A3,4096,4,0.0,0.0,0,0,0,0
A3,4096,8,0.0,0.0,0,0,0,0
A3,16384,1,0.0,0.0,0,0,0,0
A3,16384,2,0.0,0.0,0,0,0,0
A3,16384,4,0.0,0.0,0,0,0,0
A3,16384,8,0.0,0.0,0,0,0,0
A3,65536,1,0.0,0.0,0,0,0,0
A3,65536,2,0.0,0.0,0,0,0,0
A3,65536,4,0.0,0.0,0,0,0,0
A3,65536,8,0.0,0.0,0,0,0,0
